"filename", "language", "Python", "Markdown", "HTML", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"/home/bishe/Desktop/happy/src/Iomanager.py", "Python", 155, 0, 0, 0, 0, 0, 5, 43, 203
"/home/bishe/Desktop/happy/src/README.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 48, 96
"/home/bishe/Desktop/happy/src/checklogin.py", "Python", 32, 0, 0, 0, 0, 0, 0, 5, 37
"/home/bishe/Desktop/happy/src/config.py", "Python", 31, 0, 0, 0, 0, 0, 5, 3, 39
"/home/bishe/Desktop/happy/src/db.py", "Python", 37, 0, 0, 0, 0, 0, 0, 20, 57
"/home/bishe/Desktop/happy/src/escapes.py", "Python", 80, 0, 0, 0, 0, 0, 21, 26, 127
"/home/bishe/Desktop/happy/src/gdbsession.py", "Python", 148, 0, 0, 0, 0, 0, 3, 26, 177
"/home/bishe/Desktop/happy/src/mainpage.py", "Python", 148, 0, 0, 0, 0, 0, 5, 24, 177
"/home/bishe/Desktop/happy/src/parser.py", "Python", 162, 0, 0, 0, 0, 0, 1, 75, 238
"/home/bishe/Desktop/happy/src/ptylib.py", "Python", 63, 0, 0, 0, 0, 0, 7, 10, 80
"/home/bishe/Desktop/happy/src/server.py", "Python", 403, 0, 0, 0, 0, 0, 2, 44, 449
"/home/bishe/Desktop/happy/src/static/css/index.css", "CSS", 0, 0, 0, 140, 0, 0, 0, 18, 158
"/home/bishe/Desktop/happy/src/static/css/main.css", "CSS", 0, 0, 0, 448, 0, 0, 19, 69, 536
"/home/bishe/Desktop/happy/src/static/icon/add.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/ashbin.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 2
"/home/bishe/Desktop/happy/src/static/icon/build.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 1, 9
"/home/bishe/Desktop/happy/src/static/icon/collapse-all.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/bishe/Desktop/happy/src/static/icon/debug-alt.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/debug-continue.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/debug-execute-to-cursor.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/bishe/Desktop/happy/src/static/icon/debug-pause.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/debug-restart.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/debug-start.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/debug-step-into.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/debug-step-out.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/debug-stop.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/dir.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/expand-all.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"/home/bishe/Desktop/happy/src/static/icon/file.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/bishe/Desktop/happy/src/static/icon/more.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"/home/bishe/Desktop/happy/src/static/js/attachment.js", "JavaScript", 0, 0, 0, 0, 0, 164, 5, 26, 195
"/home/bishe/Desktop/happy/src/static/js/const.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 4, 31
"/home/bishe/Desktop/happy/src/static/js/editor.js", "JavaScript", 0, 0, 0, 0, 0, 107, 3, 13, 123
"/home/bishe/Desktop/happy/src/static/js/file_tree.js", "JavaScript", 0, 0, 0, 0, 0, 173, 1, 34, 208
"/home/bishe/Desktop/happy/src/static/js/learn_example.js", "JavaScript", 0, 0, 0, 0, 0, 41, 0, 6, 47
"/home/bishe/Desktop/happy/src/static/js/manage_attachment.js", "JavaScript", 0, 0, 0, 0, 0, 55, 0, 8, 63
"/home/bishe/Desktop/happy/src/static/js/manage_public.js", "JavaScript", 0, 0, 0, 0, 0, 44, 0, 6, 50
"/home/bishe/Desktop/happy/src/static/js/paser.js", "JavaScript", 0, 0, 0, 0, 0, 322, 19, 45, 386
"/home/bishe/Desktop/happy/src/static/js/public.js", "JavaScript", 0, 0, 0, 0, 0, 34, 0, 5, 39
"/home/bishe/Desktop/happy/src/static/js/socket.js", "JavaScript", 0, 0, 0, 0, 0, 121, 2, 30, 153
"/home/bishe/Desktop/happy/src/static/js/state_machine.js", "JavaScript", 0, 0, 0, 0, 0, 347, 1, 48, 396
"/home/bishe/Desktop/happy/src/static/js/visual.js", "JavaScript", 0, 0, 0, 0, 0, 537, 48, 58, 643
"/home/bishe/Desktop/happy/src/stream.py", "Python", 36, 0, 0, 0, 0, 0, 0, 13, 49
"/home/bishe/Desktop/happy/src/templates/index.html", "HTML", 0, 0, 39, 0, 0, 0, 0, 5, 44
"/home/bishe/Desktop/happy/src/templates/main.html", "HTML", 0, 0, 320, 0, 0, 0, 4, 28, 352
"/home/bishe/Desktop/happy/src/utils.py", "Python", 54, 0, 0, 0, 0, 0, 0, 6, 60
"Total", "-", 1349, 48, 359, 588, 58, 1972, 151, 761, 5286
