"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"/home/bishe/Desktop/happy/src/static/css/main.css", "CSS", 4, 0, 0, 1, 5
"/home/bishe/Desktop/happy/src/static/js/const.js", "JavaScript", 0, 6, 0, 1, 7
"/home/bishe/Desktop/happy/src/static/js/paser.js", "JavaScript", 0, 12, 0, 0, 12
"/home/bishe/Desktop/happy/src/static/js/visual.js", "JavaScript", 0, 65, 1, 5, 71
"Total", "-", 4, 83, 1, 7, 95
